tweet_id,date,text,favorite_count,retweet_count,at_mentions,at_mentions_id,hashtags,user_id,user_name,user_profile,in_reply_to_tweet_id,country,place,lang,coordinates,tidy_text
1240005397769052161,2020-03-17 13:01:39,@DaveVensel They said he didn’t meet symptoms for Coronavirus- no fever. So they’re testing him for flu. Believe he has a sinus infection.,0,0,"[""Nobody You'd Know😀""]",[941452875712081920],[],15226284,janjowen,"Author of Fighting Forward. Grief Counselor. ❤️Alabama football, traveling, SUP, beach, books, husband @learningchem, pup Ruby. She/Her.",1.240005108689232e+18,United States,Huntsville,en,"[-86.7858813, 34.5784264]",they said he didn t meet symptoms for coronavirus no fever so they re testing him for flu believe he has a sinus infection
1240005395705462788,2020-03-17 13:01:39,"@aussiesdointhgs 
#dogs of colorful #Colorado

Practicing .@CDCgov #coronavirus #selfquarantine with my #LadyLuna… https://t.co/qwGpHHTDNX",0,0,"['Aussies Doing Things', 'CDC']","[858749517084188672, 146569971]","['dogs', 'Colorado', 'coronavirus', 'selfquarantine', 'LadyLuna']",3079197865,John A. Babiak,"Coloradan w/a passion for visual journalism contributing NIKON images to SBNation•BurgundyWave•LastWord• NFL•NatGeo•Air&Space.
STEMteacher•NatureRanger•Humorist",,United States,Denver Health Behavioral Health Center,en,"[-104.99080589186562, 39.727032977785804]",dogs of colorful colorado practicing coronavirus selfquarantine with my ladyluna
1240005386490478594,2020-03-17 13:01:36,"imma do a better version of the tweet: 

this coronavirus shit getting serious &amp; life too short so if we have beef… https://t.co/hPqfg405Zf",0,0,[],[],[],3174030501,𝚋𝚒𝚕𝚕𝚒𝚒 𝚝𝚑𝚎 𝚔𝚒𝚍𝚍,owner of The Kidd Co. welcome to my comedy club,,United States,West Virginia,en,"[-82.644739, 37.201483]",imma do a better version of the tweet this coronavirus shit getting serious life too short so if we have beef
1240005384108113921,2020-03-17 13:01:36,UPDATE: All Walt Disney World Construction Projects STOP During Coronavirus Closure  https://t.co/RVZfhHAhNT,0,0,[],[],[],3362988701,"Steve & Carise, TheDisneyFox","The official Twitter handle for your favorite instagram couple and digital storytelling Instagram account, thedisneyfox!",,United States,Florida,en,"[-87.634643, 24.396308]",update all walt disney world construction projects stop during coronavirus closure
1240005452727037963,2020-03-17 13:01:52,my grandma thinks ima come stay with her during this coronavirus stuff.... baby who gone stay in the apartment i paid rent on dis month?????,0,0,[],[],[],3075869455,rachel ray,without faith it is impossible. shsu pre-vet. fly high dad💘,,United States,Huntsville,en,"[-95.600652, 30.643296]",my grandma thinks ima come stay with her during this coronavirus stuff baby who gone stay in the apartment i paid rent on dis month
1240005439280029697,2020-03-17 13:01:49,"#coronavirus Killer🔫
READ👇🏼

All joking aside, this is clearly a time to be more cautious. But also, more aware.

E… https://t.co/Pu2Kt5cy3S",0,0,[],[],['coronavirus'],87503425,Kyle Naylor,"▪️Founder @mvmtmentor ▪️Fixed💯’s of client’s movement to eliminate pain, and back to the life they love ▪️DM “fix me” if you’re ready to be next",,United States,Philadelphia,en,"[-75.280284, 39.871811]",coronavirus killer read all joking aside this is clearly a time to be more cautious but also more aware e
1240005436075585537,2020-03-17 13:01:48,@AskSunTrust Your team was very helpful. Thank you for putting into practice new payment relief assistance policies… https://t.co/FZiAx3xxcd,0,0,['SunTrust'],[68509753],[],718617354,DJ Hottpants,The Official DJ Hottpants Twitter Page. #DJsDontShareNeedles,1.2399793304968602e+18,United States,Miami Shores,en,"[-80.210559, 25.851456]",your team was very helpful thank you for putting into practice new payment relief assistance policies
1240005434221658117,2020-03-17 13:01:48,You know there’s a crisis when I haven’t turned my ringer on in over 10 years; but now I’m waiting for the phone to… https://t.co/kZckjE83bR,0,0,[],[],[],324625296,Mandy James,"Trained Buzzfeed writer, Netflix reviewer, co-host of the 🐺 Wake Up Crew. If I'm not tweeting it's cuz I had 2 much wine and my boyfriend took away my phone.",,United States,Andover,en,"[-93.40681, 45.21178]",you know there s a crisis when i haven t turned my ringer on in over years but now i m waiting for the phone to
1240005433336750081,2020-03-17 13:01:48,Every headline rn: “TK TK Amid Coronavirus”,0,0,[],[],[],64585874,Katherine Fabian,"Writer, yogi, MFA candidate, resident sad girl.🖤",,United States,Cranford,en,"[-74.327484, 40.633736]",every headline rn tk tk amid coronavirus
1240005425795338256,2020-03-17 13:01:46,"#QuarantineLife #coronavirus 

Americans be like https://t.co/hSMgLyfhaM",0,0,[],[],"['QuarantineLife', 'coronavirus']",1184542497323786241,BIG MOOD🕸,Not your average bag of particles.taken by😽https://t.co/DjWTH7DVST,,United States,San Antonio,en,"[-98.778559, 29.141956]",quarantinelife coronavirus americans be like
1240005404060291072,2020-03-17 13:01:41,"Dr Oz just said on @TheView DON’T WIPE, SPRAY when cleaning your home. I need @DrOz to do a show or go LIVE on how… https://t.co/D3h9pgm7X4",1,0,"['The View', 'Dr. Mehmet Oz']","[21258337, 38531995]",[],25838789,Brandy Gomez-Duplessis,Aloha 🤙🏾🌸🌺 NBA Lead Hair & Makeup Director  #Hawaii Celeb #MakeupArtist & #Lifestyle Influencer 💄👄 #lupus #asthma #ra 💜& still FLY. NY/NOLA,,United States,Hawaii,en,"[-178.443593, 18.86546]",dr oz just said on don t wipe spray when cleaning your home i need to do a show or go live on how
1240005615629541382,2020-03-17 13:02:31,"😎Dow rebounds more than 1,000 points as Trump seeks $1 trillion in stimulus for coronavirus fight - https://t.co/ulFriIN24i",0,0,[],[],[],3260399730,David L. Moore🌟🌟🌟,"RETIRED😎 #KAG2020 Air Force Vet. Low tolerance for anarchism! I Love the Lord, family, friends, 2nd A & freedom. 
 🙏Pro-Life!🙏            NO Bigotry Allowed!",,United States,Nashville,en,"[-87.022482, 35.9945681]",dow rebounds more than points as trump seeks trillion in stimulus for coronavirus fight
1240005462352789507,2020-03-17 13:01:55,"The African response to coronavirus has been more measured and professional than the European and US one (which, un… https://t.co/YXVTNXE6lq",0,0,[],[],[],14092301,Walton Pantland,"South African trade unionist living in Geneva via Scotland. Grumpy when decaffeinated, but not evil. Politics, philosophy, ice swimming and running.",,Switzerland,Geneva,en,"[6.1102335, 46.177632]",the african response to coronavirus has been more measured and professional than the european and us one which un
1240005326021079040,2020-03-17 13:01:22,All US Citizens are Entitled to $700 USD per week to stay at home to avoid the spread of COVID-19 novel Coronavirus… https://t.co/UDk9mJ0F6Y,0,0,[],[],[],1245194203,Keshawn👑°,mgmt ktkmgmt@gmail.com #TKE #BHG 🕷🕸,,United States,Washington,en,"[-124.848975, 45.543542]",all us citizens are entitled to usd per week to stay at home to avoid the spread of covid novel coronavirus
1240005260678238213,2020-03-17 13:01:06,"@DanaBashCNN Donald continues to lie to us.

Donald continues to gaslight us.

But, he is using a different TONE,… https://t.co/BN4C7lbg2a",0,0,['Dana Bash'],[108617810],[],3328141199,coey sanders,"Livng with my loving partner in Wilmington NC Born/raised in Green Bay, Wi Also lived in Bay Area Ca.❤️Art Poetry Chess Music♥️Ric💙

#Biden2020 #Kamala",1.2399733179535032e+18,United States,North Carolina,en,"[-84.3219475, 33.752879]",donald continues to lie to us donald continues to gaslight us but he is using a different tone
1240005223738900480,2020-03-17 13:00:58,"US, UK coronavirus strategies shifted following UK epidemiologists' ominous report. A study by UK epidemiologists p… https://t.co/wAIQcPAcDU",0,0,[],[],[],1027677408,André C. Gauthier,Conseil aff publ Accro/Addict #polqc #polcan USA politics #médias #numérique #cinéma Alum @sciencespo Paris. I tweet in EN/FR.,,Canada,Mont-Royal,en,"[-73.685994, 45.48359]",us uk coronavirus strategies shifted following uk epidemiologists ominous report a study by uk epidemiologists p
1240005169800269829,2020-03-17 13:00:45,"No, #coronavirus does not infect rich and famous people more, they are just the only ones being tested for exposure… https://t.co/IePMOMYDNN",10,2,[],[],['coronavirus'],39603710,"Gregory R. Sarafan, Esq","Voter Advocate, National Leader @HeadCountOrg, @VoterSticker Project, lawyer, 🌲👽🌲, neurodivergent
▪︎#StarWars▪︎👬▪︎Not⚖advice-My opinions #RegisterToVote🔗⤵️",,United States,Jersey City,en,"[-74.107995, 40.666879]",no coronavirus does not infect rich and famous people more they are just the only ones being tested for exposure
1240004958285512704,2020-03-17 12:59:54,"🏺 Thank you @auwomennyc for this positive reminder.⁣⁣
⁣⁣
Many of us had a big vase (big plans). ⁣⁣
⁣⁣
They got smas… https://t.co/pPtGEOdCX9",0,0,['AWNY'],[1405496370],[],704715019,Simone Turner,WINK Models | Entreprenuer | Marketer | Actress | Presenter | Singer | Life lover | Being the best version of myself! 📩 simone.a.turner@gmail.com 👇🏼,,United States,Manhattan,en,"[-74.026675, 40.683935]",thank you for this positive reminder many of us had a big vase big plans they got smas
1240004890119700480,2020-03-17 12:59:38,"What scares me is the counter on the top left corner, which shows rise in cases. So far, the confirmed positive cas… https://t.co/jsY0l8z5YE",1,0,[],[],[],66334416,Uday Singh Rana,"Journalist, reporter, anchor at @CNNnews18. Retweets are not endorsements.",,India,New Delhi,en,"[76.84252, 28.397657]",what scares me is the counter on the top left corner which shows rise in cases so far the confirmed positive cas
1240004821282951172,2020-03-17 12:59:22,WTF this clown 🤡 is talking about ?? Communists at work my friends! Wake up America! They’re violating our constitu… https://t.co/FYjr474iSq,1,0,[],[],[],865684124350140416,Darwish,"retired NYSPO 👮‍♀️🚔🇺🇸31 years in law enforcement,Christian ,conservative republican ,MAGA ✝️✝️🇺🇸🇺🇸",,United States,Queens,en,"[-73.962582, 40.541722]",wtf this clown is talking about communists at work my friends wake up america they re violating our constitu
